id,title,volume,page,input,pace,memory,native_coop,fit_tier,source_urls
P231,LEGO Builder's Journey,6,45,mixed,unknown,moderate,unknown,promising,https://store.steampowered.com/app/1544360/
P232,The Gardens Between,6,46,directional,waits,moderate,no,promising,https://store.steampowered.com/app/600990/
P233,Day of the Tentacle Remastered,6,47,pointer,unknown,heavy,unknown,conditional,https://store.steampowered.com/app/388210/
P234,Trine Enchanted Edition,6,48,mixed,real_time,moderate,yes,detour,https://store.steampowered.com/app/35700/
P235,Pilgrims,6,49,pointer,unknown,moderate,unknown,promising,https://store.steampowered.com/app/1049280/
P236,The Longest Journey,6,51,pointer,unknown,heavy,unknown,conditional,https://store.steampowered.com/app/6310/
P237,Broken Age,6,52,pointer,unknown,heavy,unknown,conditional,https://www.doublefine.com/games/broken-age
P238,Dinkum,6,54,camera,real_time,heavy,yes,conditional,https://store.steampowered.com/app/1062520/ | https://store.steampowered.com/news/posts/?appids=1062520&enddate=1745490680&feed=steam_community_announcements
P239,Farm Together,6,56,camera,mixed,moderate,yes,conditional,https://store.steampowered.com/app/673950/
P240,Staxel,6,57,camera,mixed,heavy,yes,conditional,https://store.steampowered.com/app/405710/
